Season,Week,Contestant,Rank_System_Place,Percent_System_Place,Diff
18,8,James Maslow,4.5,3.5,1.0
18,8,Candace Cameron Bure,4.5,3.5,1.0
18,8,Charlie White,1.5,1.5,0.0
18,8,Amy Purdy,1.5,1.5,0.0
18,8,Meryl Davis,7.0,5.0,2.0
18,9,Billy Dee Williams,3.0,5.0,-2.0
18,9,James Maslow,4.0,3.0,1.0
18,9,Candace Cameron Bure,6.0,4.0,2.0
18,9,Charlie White,5.0,6.0,-1.0
18,9,Amy Purdy,2.0,2.0,0.0
18,9,Meryl Davis,1.0,1.0,0.0
18,10,Billy Dee Williams,3.0,4.0,-1.0
18,10,James Maslow,4.5,5.0,-0.5
18,10,Candace Cameron Bure,4.5,3.0,1.5
18,10,Amy Purdy,2.0,2.0,0.0
18,10,Meryl Davis,1.0,1.0,0.0
19,1,Antonio Sabato Jr.,10.0,10.0,0.0
19,1,Jonathan Bennett,6.0,6.0,0.0
19,1,Lea Thompson,4.0,4.0,0.0
19,1,Janel Parrish,7.5,7.5,0.0
19,1,Alfonso Ribeiro,1.0,1.0,0.0
19,1,Lolo Jones,12.5,13.0,-0.5
19,1,Randy Couture,5.0,5.0,0.0
19,1,Tommy Chong,9.0,9.0,0.0
19,1,Betsey Johnson,12.5,12.0,0.5
19,1,Michael Waltrip,11.0,11.0,0.0
19,1,Tavis Smiley,7.5,7.5,0.0
19,1,Bethany Mota,3.0,3.0,0.0
19,1,Sadie Robertson,2.0,2.0,0.0
19,2,Antonio Sabato Jr.,6.0,6.0,0.0
19,2,Jonathan Bennett,7.0,7.0,0.0
19,2,Lea Thompson,1.0,1.0,0.0
19,2,Janel Parrish,2.0,2.0,0.0
19,2,Alfonso Ribeiro,4.0,4.0,0.0
19,2,Randy Couture,10.0,9.0,1.0
19,2,Tommy Chong,10.0,9.0,1.0
19,2,Betsey Johnson,10.0,9.0,1.0
19,2,Michael Waltrip,8.0,11.0,-3.0
19,2,Tavis Smiley,12.0,12.0,0.0
19,2,Bethany Mota,3.0,3.0,0.0
19,2,Sadie Robertson,5.0,5.0,0.0
19,3,Antonio Sabato Jr.,8.5,8.5,0.0
19,3,Jonathan Bennett,5.5,5.5,0.0
19,3,Lea Thompson,7.0,7.0,0.0
19,3,Janel Parrish,1.5,1.5,0.0
19,3,Alfonso Ribeiro,5.5,5.5,0.0
19,3,Randy Couture,11.0,11.0,0.0
19,3,Tommy Chong,3.0,3.0,0.0
19,3,Betsey Johnson,8.5,8.5,0.0
19,3,Michael Waltrip,10.0,10.0,0.0
19,3,Bethany Mota,1.5,1.5,0.0
19,3,Sadie Robertson,4.0,4.0,0.0
19,4,Antonio Sabato Jr.,6.0,6.0,0.0
19,4,Jonathan Bennett,7.5,8.5,-1.0
19,4,Lea Thompson,2.0,2.0,0.0
19,4,Janel Parrish,4.0,4.0,0.0
19,4,Alfonso Ribeiro,1.0,1.0,0.0
19,4,Tommy Chong,10.0,7.0,3.0
19,4,Betsey Johnson,9.0,10.0,-1.0
19,4,Michael Waltrip,7.5,8.5,-1.0
19,4,Bethany Mota,5.0,5.0,0.0
19,4,Sadie Robertson,3.0,3.0,0.0
19,6,Antonio Sabato Jr.,6.5,7.5,-1.0
19,6,Jonathan Bennett,8.0,9.0,-1.0
19,6,Lea Thompson,5.0,5.0,0.0
19,6,Janel Parrish,4.0,4.0,0.0
19,6,Alfonso Ribeiro,1.0,1.0,0.0
19,6,Tommy Chong,6.5,7.5,-1.0
19,6,Michael Waltrip,9.0,6.0,3.0
19,6,Bethany Mota,2.0,2.0,0.0
19,6,Sadie Robertson,3.0,3.0,0.0
19,7,Antonio Sabato Jr.,8.0,8.0,0.0
19,7,Lea Thompson,2.0,2.0,0.0
19,7,Janel Parrish,4.0,4.0,0.0
19,7,Alfonso Ribeiro,3.0,3.0,0.0
19,7,Tommy Chong,6.5,6.0,0.5
19,7,Michael Waltrip,6.5,7.0,-0.5
19,7,Bethany Mota,1.0,1.0,0.0
19,7,Sadie Robertson,5.0,5.0,0.0
19,8,Lea Thompson,5.0,5.0,0.0
19,8,Janel Parrish,1.0,1.0,0.0
19,8,Alfonso Ribeiro,2.0,2.0,0.0
19,8,Tommy Chong,6.0,6.0,0.0
19,8,Michael Waltrip,7.0,7.0,0.0
19,8,Bethany Mota,3.0,3.0,0.0
19,8,Sadie Robertson,4.0,4.0,0.0
19,9,Lea Thompson,6.0,6.0,0.0
19,9,Janel Parrish,1.5,1.5,0.0
19,9,Alfonso Ribeiro,1.5,1.5,0.0
19,9,Tommy Chong,3.5,5.0,-1.5
19,9,Bethany Mota,3.5,3.0,0.5
19,9,Sadie Robertson,5.0,4.0,1.0
19,10,Janel Parrish,1.0,1.0,0.0
19,10,Alfonso Ribeiro,3.0,3.0,0.0
19,10,Tommy Chong,5.0,5.0,0.0
19,10,Bethany Mota,2.0,2.0,0.0
19,10,Sadie Robertson,4.0,4.0,0.0
19,11,Janel Parrish,3.0,3.0,0.0
19,11,Alfonso Ribeiro,1.0,1.0,0.0
19,11,Bethany Mota,4.0,4.0,0.0
19,11,Sadie Robertson,2.0,2.0,0.0
20,2,Suzanne Somers,7.5,6.5,1.0
20,2,Willow Shields,3.0,3.0,0.0
20,2,Riker Lynch,3.0,3.0,0.0
20,2,Rumer Willis,3.0,3.0,0.0
20,2,Nastia Liukin,1.0,1.0,0.0
20,2,Michael Sam,7.5,6.5,1.0
20,2,Robert Herjavec,7.5,6.5,1.0
20,2,Charlotte McKinney,12.0,11.0,1.0
20,2,Noah Galloway,11.0,9.0,2.0
20,2,Redfoo,10.0,12.0,-2.0
20,2,Patti LaBelle,7.5,6.5,1.0
20,2,Chris Soules,5.0,10.0,-5.0
20,3,Suzanne Somers,8.0,8.0,0.0
20,3,Willow Shields,4.0,4.0,0.0
20,3,Riker Lynch,2.0,2.0,0.0
20,3,Rumer Willis,3.0,3.0,0.0
20,3,Nastia Liukin,1.0,1.0,0.0
20,3,Michael Sam,9.0,9.0,0.0
20,3,Robert Herjavec,6.0,6.0,0.0
20,3,Charlotte McKinney,11.0,11.0,0.0
20,3,Noah Galloway,5.0,5.0,0.0
20,3,Patti LaBelle,10.0,10.0,0.0
20,3,Chris Soules,7.0,7.0,0.0
20,4,Suzanne Somers,10.0,9.0,1.0
20,4,Willow Shields,1.0,1.0,0.0
20,4,Riker Lynch,4.5,4.5,0.0
20,4,Rumer Willis,3.0,3.0,0.0
20,4,Nastia Liukin,2.0,2.0,0.0
20,4,Michael Sam,9.0,10.0,-1.0
20,4,Robert Herjavec,4.5,4.5,0.0
20,4,Noah Galloway,6.0,6.0,0.0
20,4,Patti LaBelle,7.0,7.0,0.0
20,4,Chris Soules,8.0,8.0,0.0
20,5,Suzanne Somers,7.5,9.0,-1.5
20,5,Willow Shields,4.0,4.0,0.0
20,5,Riker Lynch,2.5,2.5,0.0
20,5,Rumer Willis,1.0,1.0,0.0
20,5,Nastia Liukin,2.5,2.5,0.0
20,5,Robert Herjavec,6.0,8.0,-2.0
20,5,Noah Galloway,5.0,5.0,0.0
20,5,Patti LaBelle,7.5,6.0,1.5
20,5,Chris Soules,9.0,7.0,2.0
20,6,Willow Shields,3.0,3.0,0.0
20,6,Riker Lynch,1.0,1.0,0.0
20,6,Rumer Willis,4.0,4.0,0.0
20,6,Nastia Liukin,2.0,2.0,0.0
20,6,Robert Herjavec,7.0,7.0,0.0
20,6,Noah Galloway,6.0,6.0,0.0
20,6,Patti LaBelle,8.0,8.0,0.0
20,6,Chris Soules,5.0,5.0,0.0
20,7,Willow Shields,5.0,7.0,-2.0
20,7,Riker Lynch,6.5,3.5,3.0
20,7,Rumer Willis,6.5,3.5,3.0
20,7,Nastia Liukin,1.0,1.0,0.0
20,7,Robert Herjavec,4.0,6.0,-2.0
20,7,Noah Galloway,2.0,2.0,0.0
20,7,Chris Soules,3.0,5.0,-2.0
20,8,Riker Lynch,2.0,2.0,0.0
20,8,Rumer Willis,1.0,1.0,0.0
20,8,Nastia Liukin,3.0,3.0,0.0
20,8,Robert Herjavec,6.0,6.0,0.0
20,8,Noah Galloway,5.0,5.0,0.0
20,8,Chris Soules,4.0,4.0,0.0
20,9,Riker Lynch,1.0,1.0,0.0
20,9,Rumer Willis,4.0,2.5,1.5
20,9,Nastia Liukin,3.0,4.0,-1.0
20,9,Noah Galloway,2.0,2.5,-0.5
21,2,Gary Busey,13.0,11.5,1.5
21,2,Alexa PenaVega,3.0,3.0,0.0
21,2,Carlos PenaVega,6.0,6.0,0.0
21,2,Victor Espinoza,12.0,13.0,-1.0
21,2,Alek Skarlatos,4.0,4.0,0.0
21,2,Chaka Khan,11.0,11.5,-0.5
21,2,Andy Grammer,8.0,8.0,0.0
21,2,Tamar Braxton,1.0,1.0,0.0
21,2,Nick Carter,6.0,6.0,0.0
21,2,Hayes Grier,6.0,6.0,0.0
21,2,Bindi Irwin,2.0,2.0,0.0
21,2,Kim Zolciak-Biermann,9.5,9.5,0.0
21,2,Paula Deen,9.5,9.5,0.0
21,4,Gary Busey,11.0,11.0,0.0
21,4,Alexa PenaVega,9.0,8.0,1.0
21,4,Carlos PenaVega,5.0,5.0,0.0
21,4,Alek Skarlatos,7.0,6.0,1.0
21,4,Andy Grammer,8.0,7.0,1.0
21,4,Tamar Braxton,3.5,3.5,0.0
21,4,Nick Carter,2.0,2.0,0.0
21,4,Hayes Grier,3.5,3.5,0.0
21,4,Bindi Irwin,1.0,1.0,0.0
21,4,Kim Zolciak-Biermann,6.0,10.0,-4.0
21,4,Paula Deen,10.0,9.0,1.0
21,6,Alexa PenaVega,8.5,7.5,1.0
21,6,Carlos PenaVega,5.5,5.0,0.5
21,6,Alek Skarlatos,8.5,7.5,1.0
21,6,Andy Grammer,1.0,1.0,0.0
21,6,Tamar Braxton,2.5,2.5,0.0
21,6,Nick Carter,4.0,4.0,0.0
21,6,Hayes Grier,7.0,6.0,1.0
21,6,Bindi Irwin,2.5,2.5,0.0
21,6,Kim Zolciak-Biermann,5.5,9.0,-3.5
21,6,Paula Deen,10.0,10.0,0.0
21,7,Alexa PenaVega,4.5,4.0,0.5
21,7,Carlos PenaVega,2.5,2.5,0.0
21,7,Alek Skarlatos,9.0,7.0,2.0
21,7,Andy Grammer,2.5,2.5,0.0
21,7,Tamar Braxton,7.5,5.5,2.0
21,7,Nick Carter,7.5,5.5,2.0
21,7,Hayes Grier,6.0,9.0,-3.0
21,7,Bindi Irwin,1.0,1.0,0.0
21,7,Kim Zolciak-Biermann,4.5,8.0,-3.5
21,8,Alexa PenaVega,6.0,5.0,1.0
21,8,Carlos PenaVega,2.0,2.0,0.0
21,8,Alek Skarlatos,7.0,6.0,1.0
21,8,Andy Grammer,8.0,8.0,0.0
21,8,Tamar Braxton,4.0,4.0,0.0
21,8,Nick Carter,1.0,1.0,0.0
21,8,Bindi Irwin,3.0,3.0,0.0
21,8,Kim Zolciak-Biermann,5.0,7.0,-2.0
21,9,Alexa PenaVega,5.0,7.0,-2.0
21,9,Carlos PenaVega,3.5,3.0,0.5
21,9,Alek Skarlatos,6.0,4.0,2.0
21,9,Tamar Braxton,7.0,5.0,2.0
21,9,Nick Carter,2.0,2.0,0.0
21,9,Bindi Irwin,1.0,1.0,0.0
21,9,Kim Zolciak-Biermann,3.5,6.0,-2.5
21,11,Carlos PenaVega,5.0,6.0,-1.0
21,11,Alek Skarlatos,6.0,3.0,3.0
21,11,Tamar Braxton,3.0,4.0,-1.0
21,11,Nick Carter,1.5,1.5,0.0
21,11,Bindi Irwin,1.5,1.5,0.0
21,11,Kim Zolciak-Biermann,4.0,5.0,-1.0
22,2,Mischa Barton,11.0,11.0,0.0
22,2,Kim Fields,9.5,9.5,0.0
22,2,Jodie Sweetin,3.5,3.5,0.0
22,2,Doug Flutie,8.0,8.0,0.0
22,2,Von Miller,6.0,6.0,0.0
22,2,Antonio Brown,9.5,9.5,0.0
22,2,Paige VanZant,2.0,2.0,0.0
22,2,Geraldo Rivera,12.0,12.0,0.0
22,2,Nyle DiMarco,6.0,6.0,0.0
22,2,Ginger Zee,3.5,3.5,0.0
22,2,Wanya Morris,1.0,1.0,0.0
22,2,Marla Maples,6.0,6.0,0.0
22,3,Mischa Barton,11.0,11.0,0.0
22,3,Kim Fields,5.0,5.0,0.0
22,3,Jodie Sweetin,3.5,3.5,0.0
22,3,Doug Flutie,9.0,9.0,0.0
22,3,Von Miller,9.0,9.0,0.0
22,3,Antonio Brown,9.0,9.0,0.0
22,3,Paige VanZant,3.5,3.5,0.0
22,3,Nyle DiMarco,1.0,1.0,0.0
22,3,Ginger Zee,6.5,6.5,0.0
22,3,Wanya Morris,2.0,2.0,0.0
22,3,Marla Maples,6.5,6.5,0.0
22,4,Kim Fields,6.5,6.5,0.0
22,4,Jodie Sweetin,9.5,8.0,1.5
22,4,Doug Flutie,8.0,9.0,-1.0
22,4,Von Miller,6.5,6.5,0.0
22,4,Antonio Brown,3.0,3.0,0.0
22,4,Paige VanZant,1.5,1.5,0.0
22,4,Nyle DiMarco,5.0,5.0,0.0
22,4,Ginger Zee,1.5,1.5,0.0
22,4,Wanya Morris,4.0,4.0,0.0
22,4,Marla Maples,9.5,10.0,-0.5
22,6,Kim Fields,7.0,7.0,0.0
22,6,Jodie Sweetin,5.0,5.0,0.0
22,6,Doug Flutie,9.0,9.0,0.0
22,6,Von Miller,7.0,7.0,0.0
22,6,Antonio Brown,3.0,3.0,0.0
22,6,Paige VanZant,2.0,2.0,0.0
22,6,Nyle DiMarco,4.0,4.0,0.0
22,6,Ginger Zee,7.0,7.0,0.0
22,6,Wanya Morris,1.0,1.0,0.0
22,7,Kim Fields,8.0,8.0,0.0
22,7,Jodie Sweetin,7.0,7.0,0.0
22,7,Von Miller,5.5,5.5,0.0
22,7,Antonio Brown,5.5,5.5,0.0
22,7,Paige VanZant,3.0,3.0,0.0
22,7,Nyle DiMarco,1.0,1.0,0.0
22,7,Ginger Zee,3.0,3.0,0.0
22,7,Wanya Morris,3.0,3.0,0.0
22,8,Jodie Sweetin,4.0,6.0,-2.0
22,8,Antonio Brown,5.5,5.0,0.5
22,8,Paige VanZant,5.5,3.0,2.5
22,8,Nyle DiMarco,2.0,2.0,0.0
22,8,Ginger Zee,1.0,1.0,0.0
22,8,Wanya Morris,3.0,4.0,-1.0
22,9,Antonio Brown,5.0,5.0,0.0
22,9,Paige VanZant,2.0,2.0,0.0
22,9,Nyle DiMarco,3.0,3.0,0.0
22,9,Ginger Zee,4.0,4.0,0.0
22,9,Wanya Morris,1.0,1.0,0.0
23,2,Jake T. Austin,13.0,13.0,0.0
23,2,Maureen McCormick,9.0,9.0,0.0
23,2,Marilu Henner,7.0,7.0,0.0
23,2,Ryan Lochte,12.0,11.0,1.0
23,2,Calvin Johnson Jr.,6.0,6.0,0.0
23,2,Laurie Hernandez,1.0,1.0,0.0
23,2,Amber Rose,11.0,10.0,1.0
23,2,Rick Perry,10.0,12.0,-2.0
23,2,James Hinchcliffe,4.5,4.5,0.0
23,2,Babyface,3.0,3.0,0.0
23,2,Vanilla Ice,8.0,8.0,0.0
23,2,Jana Kramer,4.5,4.5,0.0
23,2,Terra Jole,2.0,2.0,0.0
23,3,Maureen McCormick,5.5,5.5,0.0
23,3,Marilu Henner,5.5,5.5,0.0
23,3,Ryan Lochte,8.5,8.5,0.0
23,3,Calvin Johnson Jr.,1.0,1.0,0.0
23,3,Laurie Hernandez,2.0,2.0,0.0
23,3,Amber Rose,8.5,8.5,0.0
23,3,Rick Perry,12.0,12.0,0.0
23,3,James Hinchcliffe,4.0,4.0,0.0
23,3,Babyface,10.0,10.0,0.0
23,3,Vanilla Ice,11.0,11.0,0.0
23,3,Jana Kramer,7.0,7.0,0.0
23,3,Terra Jole,3.0,3.0,0.0
23,4,Maureen McCormick,4.0,4.0,0.0
23,4,Marilu Henner,10.0,10.0,0.0
23,4,Ryan Lochte,9.0,9.0,0.0
23,4,Calvin Johnson Jr.,7.0,7.0,0.0
23,4,Laurie Hernandez,1.0,1.0,0.0
23,4,Amber Rose,5.0,5.0,0.0
23,4,James Hinchcliffe,2.0,2.0,0.0
23,4,Babyface,11.0,11.0,0.0
23,4,Vanilla Ice,7.0,7.0,0.0
23,4,Jana Kramer,7.0,7.0,0.0
23,4,Terra Jole,3.0,3.0,0.0
23,6,Maureen McCormick,6.0,6.0,0.0
23,6,Marilu Henner,5.0,5.0,0.0
23,6,Ryan Lochte,8.0,8.0,0.0
23,6,Calvin Johnson Jr.,3.5,3.5,0.0
23,6,Laurie Hernandez,3.5,3.5,0.0
23,6,Amber Rose,9.0,9.0,0.0
23,6,James Hinchcliffe,2.0,2.0,0.0
23,6,Jana Kramer,1.0,1.0,0.0
23,6,Terra Jole,7.0,7.0,0.0
23,7,Maureen McCormick,8.0,8.0,0.0
23,7,Marilu Henner,7.0,7.0,0.0
23,7,Ryan Lochte,6.0,6.0,0.0
23,7,Calvin Johnson Jr.,1.5,1.5,0.0
23,7,Laurie Hernandez,3.0,3.0,0.0
23,7,James Hinchcliffe,1.5,1.5,0.0
23,7,Jana Kramer,4.5,4.5,0.0
23,7,Terra Jole,4.5,4.5,0.0
23,8,Marilu Henner,6.0,5.0,1.0
23,8,Ryan Lochte,6.0,7.0,-1.0
23,8,Calvin Johnson Jr.,3.0,3.0,0.0
23,8,Laurie Hernandez,2.0,2.0,0.0
23,8,James Hinchcliffe,1.0,1.0,0.0
23,8,Jana Kramer,4.0,4.0,0.0
23,8,Terra Jole,6.0,6.0,0.0
23,9,Marilu Henner,6.0,6.0,0.0
23,9,Calvin Johnson Jr.,4.0,4.0,0.0
23,9,Laurie Hernandez,2.0,2.0,0.0
23,9,James Hinchcliffe,5.0,5.0,0.0
23,9,Jana Kramer,1.0,1.0,0.0
23,9,Terra Jole,3.0,3.0,0.0
23,10,Calvin Johnson Jr.,2.5,3.0,-0.5
23,10,Laurie Hernandez,1.0,1.0,0.0
23,10,James Hinchcliffe,2.5,2.0,0.5
23,10,Jana Kramer,5.0,4.0,1.0
23,10,Terra Jole,4.0,5.0,-1.0
23,11,Calvin Johnson Jr.,3.0,3.0,0.0
23,11,Laurie Hernandez,1.0,1.0,0.0
23,11,James Hinchcliffe,2.0,2.0,0.0
23,11,Jana Kramer,4.0,4.0,0.0
24,2,Charo,9.0,9.0,0.0
24,2,Mr. T,11.0,11.0,0.0
24,2,Heather Morris,3.0,3.0,0.0
24,2,Nancy Kerrigan,5.0,5.0,0.0
24,2,Bonner Bolton,7.0,7.0,0.0
24,2,Simone Biles,4.0,4.0,0.0
24,2,David Ross,8.0,8.0,0.0
24,2,Rashad Jennings,1.0,1.0,0.0
24,2,Chris Kattan,12.0,12.0,0.0
24,2,Erika Jayne,6.0,6.0,0.0
24,2,Normani,2.0,2.0,0.0
24,2,Nick Viall,10.0,10.0,0.0
24,3,Charo,11.0,11.0,0.0
24,3,Mr. T,9.5,9.5,0.0
24,3,Heather Morris,2.5,2.5,0.0
24,3,Nancy Kerrigan,2.5,2.5,0.0
24,3,Bonner Bolton,9.5,9.5,0.0
24,3,Simone Biles,4.0,4.0,0.0
24,3,David Ross,5.0,5.0,0.0
24,3,Rashad Jennings,6.0,6.0,0.0
24,3,Erika Jayne,7.5,7.5,0.0
24,3,Normani,1.0,1.0,0.0
24,3,Nick Viall,7.5,7.5,0.0
24,4,Mr. T,10.0,10.0,0.0
24,4,Heather Morris,3.0,3.0,0.0
24,4,Nancy Kerrigan,4.0,4.0,0.0
24,4,Bonner Bolton,5.5,5.5,0.0
24,4,Simone Biles,2.0,2.0,0.0
24,4,David Ross,7.0,7.0,0.0
24,4,Rashad Jennings,1.0,1.0,0.0
24,4,Erika Jayne,9.0,9.0,0.0
24,4,Normani,5.5,5.5,0.0
24,4,Nick Viall,8.0,8.0,0.0
24,5,Heather Morris,5.0,5.0,0.0
24,5,Nancy Kerrigan,3.0,3.0,0.0
24,5,Bonner Bolton,9.0,8.0,1.0
24,5,Simone Biles,2.0,2.0,0.0
24,5,David Ross,6.0,7.0,-1.0
24,5,Rashad Jennings,7.0,6.0,1.0
24,5,Erika Jayne,8.0,9.0,-1.0
24,5,Normani,1.0,1.0,0.0
24,5,Nick Viall,4.0,4.0,0.0
24,6,Heather Morris,4.0,8.0,-4.0
24,6,Nancy Kerrigan,8.0,4.0,4.0
24,6,Bonner Bolton,6.5,6.5,0.0
24,6,Simone Biles,6.5,3.0,3.5
24,6,David Ross,4.0,5.0,-1.0
24,6,Rashad Jennings,2.0,2.0,0.0
24,6,Normani,1.0,1.0,0.0
24,6,Nick Viall,4.0,6.5,-2.5
24,7,Nancy Kerrigan,6.0,7.0,-1.0
24,7,Bonner Bolton,4.0,5.5,-1.5
24,7,Simone Biles,3.0,3.0,0.0
24,7,David Ross,6.0,5.5,0.5
24,7,Rashad Jennings,2.0,2.0,0.0
24,7,Normani,1.0,1.0,0.0
24,7,Nick Viall,6.0,4.0,2.0
24,8,Bonner Bolton,5.0,5.0,0.0
24,8,Simone Biles,3.0,3.0,0.0
24,8,David Ross,4.0,4.0,0.0
24,8,Rashad Jennings,2.0,2.0,0.0
24,8,Normani,1.0,1.0,0.0
24,9,Simone Biles,2.5,4.0,-1.5
24,9,David Ross,2.5,3.0,-0.5
24,9,Rashad Jennings,1.0,1.0,0.0
24,9,Normani,4.0,2.0,2.0
25,2,Sasha Pieterse,4.5,4.5,0.0
25,2,Frankie Muniz,1.5,1.5,0.0
25,2,Jordan Fisher,1.5,1.5,0.0
25,2,Derek Fisher,11.5,11.5,0.0
25,2,Nikki Bella,9.5,9.5,0.0
25,2,Terrell Owens,9.5,9.5,0.0
25,2,Victoria Arlen,6.0,6.0,0.0
25,2,Barbara Corcoran,13.0,13.0,0.0
25,2,Lindsey Stirling,4.5,4.5,0.0
25,2,Debbie Gibson,7.5,7.5,0.0
25,2,Nick Lachey,11.5,11.5,0.0
25,2,Drew Scott,7.5,7.5,0.0
25,2,Vanessa Lachey,3.0,3.0,0.0
25,4,Sasha Pieterse,8.0,7.5,0.5
25,4,Frankie Muniz,8.0,7.5,0.5
25,4,Jordan Fisher,1.0,1.0,0.0
25,4,Derek Fisher,11.0,11.0,0.0
25,4,Nikki Bella,8.0,7.5,0.5
25,4,Terrell Owens,8.0,7.5,0.5
25,4,Victoria Arlen,2.0,2.0,0.0
25,4,Lindsey Stirling,3.0,3.0,0.0
25,4,Nick Lachey,8.0,10.0,-2.0
25,4,Drew Scott,4.5,4.5,0.0
25,4,Vanessa Lachey,4.5,4.5,0.0
25,5,Sasha Pieterse,10.0,10.0,0.0
25,5,Frankie Muniz,2.0,2.0,0.0
25,5,Jordan Fisher,1.0,1.0,0.0
25,5,Nikki Bella,5.0,5.0,0.0
25,5,Terrell Owens,6.5,6.5,0.0
25,5,Victoria Arlen,4.0,4.0,0.0
25,5,Lindsey Stirling,3.0,3.0,0.0
25,5,Nick Lachey,8.0,9.0,-1.0
25,5,Drew Scott,6.5,6.5,0.0
25,5,Vanessa Lachey,9.0,8.0,1.0
25,6,Frankie Muniz,6.5,6.5,0.0
25,6,Jordan Fisher,2.0,2.0,0.0
25,6,Nikki Bella,4.5,4.5,0.0
25,6,Terrell Owens,3.0,3.0,0.0
25,6,Victoria Arlen,6.5,6.5,0.0
25,6,Lindsey Stirling,1.0,1.0,0.0
25,6,Nick Lachey,9.0,9.0,0.0
25,6,Drew Scott,8.0,8.0,0.0
25,6,Vanessa Lachey,4.5,4.5,0.0
25,7,Frankie Muniz,1.0,1.0,0.0
25,7,Jordan Fisher,5.0,5.0,0.0
25,7,Nikki Bella,8.0,8.0,0.0
25,7,Terrell Owens,7.0,7.0,0.0
25,7,Victoria Arlen,2.5,2.5,0.0
25,7,Lindsey Stirling,6.0,6.0,0.0
25,7,Drew Scott,2.5,2.5,0.0
25,7,Vanessa Lachey,4.0,4.0,0.0
25,8,Frankie Muniz,3.0,3.0,0.0
25,8,Jordan Fisher,1.0,1.0,0.0
25,8,Terrell Owens,5.5,6.0,-0.5
25,8,Victoria Arlen,5.5,4.5,1.0
25,8,Lindsey Stirling,2.0,2.0,0.0
25,8,Drew Scott,4.0,4.5,-0.5
25,9,Frankie Muniz,4.5,3.5,1.0
25,9,Jordan Fisher,1.0,1.0,0.0
25,9,Victoria Arlen,4.5,5.0,-0.5
25,9,Lindsey Stirling,2.0,2.0,0.0
25,9,Drew Scott,3.0,3.5,-0.5
25,10,Frankie Muniz,3.0,3.0,0.0
25,10,Jordan Fisher,1.5,1.5,0.0
25,10,Lindsey Stirling,1.5,1.5,0.0
25,10,Drew Scott,4.0,4.0,0.0
26,1,Jamie Anderson,9.5,10.0,-0.5
26,1,Johnny Damon,9.5,9.0,0.5
26,1,Kareem Abdul-Jabbar,7.5,8.0,-0.5
26,1,Arike Ogunbowale,7.5,7.0,0.5
26,1,Jennie Finch Daigle,5.5,5.5,0.0
26,1,Chris Mazdzer,5.5,5.5,0.0
26,1,Mirai Nagasu,4.0,4.0,0.0
26,1,Tonya Harding,3.0,3.0,0.0
26,1,Josh Norman,1.5,1.5,0.0
26,1,Adam Rippon,1.5,1.5,0.0
26,2,Kareem Abdul-Jabbar,8.0,8.0,0.0
26,2,Arike Ogunbowale,3.0,3.0,0.0
26,2,Jennie Finch Daigle,6.5,6.5,0.0
26,2,Chris Mazdzer,4.5,4.5,0.0
26,2,Mirai Nagasu,1.5,1.5,0.0
26,2,Tonya Harding,4.5,4.5,0.0
26,2,Josh Norman,6.5,6.5,0.0
26,2,Adam Rippon,1.5,1.5,0.0
26,3,Jennie Finch Daigle,6.0,6.0,0.0
26,3,Chris Mazdzer,5.0,5.0,0.0
26,3,Mirai Nagasu,3.5,3.5,0.0
26,3,Tonya Harding,3.5,3.5,0.0
26,3,Josh Norman,2.0,2.0,0.0
26,3,Adam Rippon,1.0,1.0,0.0
27,1,Juan Pablo Di Pace,4.0,4.0,0.0
27,1,Evanna Lynch,11.5,10.5,1.0
27,1,Nancy McKeon,8.0,8.0,0.0
27,1,John Schneider,10.0,9.0,1.0
27,1,Milo Manheim,5.5,5.5,0.0
27,1,Danelle Umstead,11.5,10.5,1.0
27,1,Mary Lou Retton,5.5,5.5,0.0
27,1,DeMarcus Ware,1.0,1.0,0.0
27,1,Nikki Glaser,13.0,13.0,0.0
27,1,Bobby Bones,7.0,7.0,0.0
27,1,Tinashe,2.0,2.0,0.0
27,1,Alexis Ren,3.0,3.0,0.0
27,1,Joe Amabile,9.0,12.0,-3.0
27,2,Juan Pablo Di Pace,2.0,2.0,0.0
27,2,Evanna Lynch,5.0,5.0,0.0
27,2,Nancy McKeon,9.0,9.0,0.0
27,2,John Schneider,8.0,8.0,0.0
27,2,Milo Manheim,2.0,2.0,0.0
27,2,Danelle Umstead,12.0,12.0,0.0
27,2,Mary Lou Retton,7.0,7.0,0.0
27,2,DeMarcus Ware,6.0,6.0,0.0
27,2,Bobby Bones,10.0,10.0,0.0
27,2,Tinashe,2.0,2.0,0.0
27,2,Alexis Ren,4.0,4.0,0.0
27,2,Joe Amabile,11.0,11.0,0.0
27,3,Juan Pablo Di Pace,1.0,1.0,0.0
27,3,Evanna Lynch,4.0,4.0,0.0
27,3,Nancy McKeon,10.5,11.0,-0.5
27,3,John Schneider,10.5,9.0,1.5
27,3,Milo Manheim,2.5,2.5,0.0
27,3,Mary Lou Retton,7.0,7.0,0.0
27,3,DeMarcus Ware,5.5,5.5,0.0
27,3,Bobby Bones,9.0,8.0,1.0
27,3,Tinashe,2.5,2.5,0.0
27,3,Alexis Ren,5.5,5.5,0.0
27,3,Joe Amabile,8.0,10.0,-2.0
27,4,Juan Pablo Di Pace,5.0,4.5,0.5
27,4,Evanna Lynch,5.0,4.5,0.5
27,4,John Schneider,9.5,7.0,2.5
27,4,Milo Manheim,1.0,1.0,0.0
